OpenTime,Open,High,Low,Close,Volume
2019-10-23 02:00:00,8032.56000000,8039.01000000,8011.11000000,8033.92000000,677.39499800
2019-10-23 03:00:00,8033.03000000,8034.03000000,7930.00000000,7954.34000000,2429.36343300
2019-10-23 04:00:00,7953.58000000,7975.01000000,7930.00000000,7969.06000000,1868.44222600
2019-10-23 05:00:00,7969.45000000,7971.84000000,7920.00000000,7953.80000000,1662.77058800
2019-10-23 06:00:00,7954.33000000,7980.24000000,7938.79000000,7969.00000000,1219.34776200
2019-10-23 07:00:00,7969.01000000,7984.20000000,7945.76000000,7957.19000000,1112.54542100
2019-10-23 08:00:00,7957.34000000,7994.10000000,7947.80000000,7976.15000000,1108.70481900
2019-10-23 09:00:00,7976.57000000,7999.00000000,7972.55000000,7991.21000000,1219.89315800
2019-10-23 10:00:00,7991.19000000,8011.96000000,7986.19000000,7996.15000000,1141.96322400
2019-10-23 11:00:00,7997.54000000,8006.71000000,7945.31000000,7963.57000000,1704.12690600
2019-10-23 12:00:00,7962.23000000,7963.98000000,7500.00000000,7550.59000000,11662.65931100
2019-10-23 13:00:00,7553.37000000,7585.68000000,7400.00000000,7465.28000000,11605.02081700
2019-10-23 14:00:00,7465.28000000,7499.89000000,7440.06000000,7467.92000000,4172.61561700
2019-10-23 15:00:00,7467.92000000,7480.00000000,7423.74000000,7425.95000000,2904.35165200
2019-10-23 16:00:00,7425.96000000,7499.50000000,7300.00000000,7471.53000000,5684.78623700
2019-10-23 17:00:00,7470.80000000,7514.26000000,7460.45000000,7503.11000000,1832.43911800
2019-10-23 18:00:00,7503.11000000,7535.55000000,7487.31000000,7506.38000000,2078.76065600
2019-10-23 19:00:00,7506.37000000,7523.73000000,7480.05000000,7482.90000000,1565.07533500
2019-10-23 20:00:00,7482.90000000,7498.99000000,7460.01000000,7486.37000000,1338.77352300
2019-10-23 21:00:00,7486.06000000,7497.79000000,7426.00000000,7431.57000000,1137.26335800
2019-10-23 22:00:00,7428.58000000,7472.72000000,7386.37000000,7416.89000000,1735.48129000
2019-10-23 23:00:00,7416.89000000,7476.02000000,7405.21000000,7466.62000000,1629.30696400
2019-10-24 00:00:00,7468.47000000,7497.96000000,7448.00000000,7459.72000000,1332.34536300
2019-10-24 01:00:00,7459.70000000,7477.99000000,7420.00000000,7440.25000000,1172.50219700
2019-10-24 02:00:00,7439.03000000,7443.73000000,7400.00000000,7424.27000000,1564.51570200
2019-10-24 03:00:00,7424.33000000,7434.85000000,7400.00000000,7410.88000000,1378.89403300
2019-10-24 04:00:00,7410.94000000,7431.88000000,7397.13000000,7417.43000000,1620.79494400
2019-10-24 05:00:00,7416.57000000,7429.10000000,7407.49000000,7412.81000000,742.09629600
2019-10-24 06:00:00,7412.72000000,7414.38000000,7337.99000000,7360.14000000,2062.08550000
2019-10-24 07:00:00,7360.15000000,7441.67000000,7357.18000000,7420.89000000,1850.98235900
2019-10-24 08:00:00,7420.36000000,7459.95000000,7389.20000000,7449.41000000,1543.92509800
2019-10-24 09:00:00,7450.53000000,7478.00000000,7435.23000000,7441.00000000,1694.14342000
2019-10-24 10:00:00,7441.00000000,7459.88000000,7427.50000000,7435.41000000,1435.92024200
2019-10-24 11:00:00,7435.39000000,7441.98000000,7413.00000000,7421.83000000,1521.92891000
2019-10-24 12:00:00,7421.09000000,7463.75000000,7420.06000000,7442.77000000,1202.74786400
2019-10-24 13:00:00,7441.05000000,7465.98000000,7434.09000000,7448.00000000,1438.94410400
2019-10-24 14:00:00,7448.01000000,7503.68000000,7446.88000000,7466.30000000,2321.06394600
2019-10-24 15:00:00,7466.30000000,7469.75000000,7413.43000000,7436.82000000,2277.86119700
2019-10-24 16:00:00,7436.82000000,7463.01000000,7427.01000000,7454.97000000,1403.39746400
2019-10-24 17:00:00,7454.97000000,7457.97000000,7421.07000000,7434.82000000,992.28483200
2019-10-24 18:00:00,7434.21000000,7457.99000000,7431.02000000,7442.00000000,954.77863000
2019-10-24 19:00:00,7442.57000000,7479.00000000,7437.19000000,7471.30000000,1108.70119000
2019-10-24 20:00:00,7471.30000000,7471.96000000,7440.00000000,7442.16000000,716.75481100
2019-10-24 21:00:00,7441.96000000,7454.00000000,7429.41000000,7430.34000000,662.81053200
2019-10-24 22:00:00,7430.16000000,7455.60000000,7430.16000000,7451.12000000,555.99570600
2019-10-24 23:00:00,7452.65000000,7465.75000000,7403.76000000,7412.41000000,1158.90892500
2019-10-25 00:00:00,7412.41000000,7434.10000000,7411.94000000,7421.29000000,933.72485100
2019-10-25 01:00:00,7420.63000000,7446.69000000,7418.66000000,7437.99000000,730.80837100
2019-10-25 02:00:00,7437.13000000,7459.29000000,7425.11000000,7435.00000000,1902.02518500
2019-10-25 03:00:00,7435.00000000,7445.98000000,7427.81000000,7440.00000000,1073.19669400
2019-10-25 04:00:00,7440.02000000,7442.95000000,7422.43000000,7426.05000000,846.92267900
2019-10-25 05:00:00,7425.65000000,7449.00000000,7361.00000000,7446.93000000,1680.97544900
2019-10-25 06:00:00,7447.19000000,7464.78000000,7437.14000000,7443.78000000,981.02448100
2019-10-25 07:00:00,7443.78000000,7469.00000000,7441.82000000,7462.79000000,2160.07947900
2019-10-25 08:00:00,7461.72000000,7475.00000000,7444.01000000,7444.61000000,1329.16347000
2019-10-25 09:00:00,7445.34000000,7459.95000000,7442.00000000,7450.80000000,770.65422900
2019-10-25 10:00:00,7450.80000000,7616.08000000,7439.00000000,7583.92000000,5196.70246900
2019-10-25 11:00:00,7585.36000000,7642.58000000,7564.65000000,7581.10000000,4991.82778500
2019-10-25 12:00:00,7578.00000000,7649.99000000,7578.00000000,7619.04000000,3097.66409200
2019-10-25 13:00:00,7619.46000000,7688.00000000,7611.47000000,7668.34000000,2658.39457100
