low,high,open,close,volumefrom,volumeto,macd,macds,macdh,rsi,sma_50,SMA_100
136.25,137.82,136.97,136.67,1671.96,229331.26,-3.831316594734716,-4.307727591808871,0.9528219941483105,36.05754617309698,148.92299999999997,148.52603448275858
134.2,137.32,136.67,136.15,4604.01,625043.43,-3.6787152667284886,-4.181924885802688,1.006419238148398,35.095907666358826,148.73779999999996,148.31627118644062
136.14,136.88,136.15,136.32,1087.27,148370.54,-3.503750331136672,-4.046289767009269,1.0850788717451945,35.69966053041357,148.52599999999995,148.11633333333327
136.19,138.16,136.32,137.72,2778.89,381903.99,-3.215970929510263,-3.8802257959156323,1.3285097328107387,40.60011673553065,148.33359999999996,147.94590163934419
137.46,138.12,137.72,137.7,1296.47,178585.84,-2.9554151350225197,-3.6952634823265007,1.479696694607962,40.55256917240764,148.14719999999997,147.78064516129027
134.99,137.7,137.7,136.31,5858.4,797126.47,-2.827652823878026,-3.521741214484689,1.3881767812133265,37.28444774740948,147.93339999999998,147.59857142857135
136.09,136.83,136.31,136.65,2981.69,407191.81,-2.668365119284232,-3.3510658883099587,1.3654015380514535,38.588156981437336,147.72699999999995,147.42749999999992
136.4,140.9,136.65,139.96,8860.81,1225661.1,-2.2507423405571387,-3.1310010682498537,1.76051745538543,49.57733163145904,147.58919999999995,147.3126153846153
138.0,140.03,139.96,138.52,4219.82,586584.76,-2.012105105506521,-2.907221785801327,1.7902333605896121,45.742453382440225,147.42879999999997,147.17939393939386
138.52,140.96,138.52,140.28,4583.08,641237.07,-1.6625556055338109,-2.6582884697437406,1.9914657284198594,50.756121081312294,147.18299999999996,147.0764179104477
138.87,140.57,140.28,139.36,2306.38,321701.96,-1.4427753090659223,-2.415185775104022,1.9448209320761993,48.246429162274765,146.85579999999993,146.96294117647054
134.73,139.6,139.36,137.25,10228.48,1402971.22,-1.4216857446312758,-2.2164857281392436,1.5895999670159355,42.995520006900485,146.46879999999993,146.82217391304343
135.75,141.98,137.25,135.76,6470.08,888548.79,-1.5073060021813376,-2.0746497596084894,1.1346875148543036,39.708926646336764,146.05659999999995,146.6641428571428
135.76,138.91,135.76,138.47,1327.9,182154.99,-1.3418642688389468,-1.9280926421617486,1.1724567466456035,47.560379286767954,145.64779999999996,146.54873239436614
137.26,138.69,138.47,137.63,1067.14,147041.58,-1.2637144633187631,-1.7952169923997119,1.0630050581618975,45.57904873971375,145.26879999999994,146.42486111111103
136.46,137.82,137.63,137.65,2120.52,290738.31,-1.1864895478012727,-1.6734714932229857,0.973963890843426,45.63711842707702,144.86699999999996,146.3046575342465
137.14,137.81,137.65,137.47,507.83,69839.35,-1.1267742646086276,-1.5641320401306493,0.8747155510440434,45.16996418374933,144.46799999999996,146.1852702702702
137.24,138.07,137.47,137.27,734.93,101218.52,-1.0830521199745249,-1.4679160509114686,0.7697278618738874,44.623392856545976,144.03699999999998,146.06639999999993
137.27,137.65,137.27,137.42,378.62,52053.08,-1.0245165236418075,-1.3792361416322476,0.7094392359808803,45.15936903591783,143.6058,145.9526315789473
136.82,137.83,137.42,137.23,1184.75,163079.04,-0.9820958338523553,-1.2998080773353073,0.635424486965904,44.570908080256224,143.07299999999998,145.83935064935056
135.32,137.44,137.23,136.29,6161.42,839763.53,-1.012478692914783,-1.2423421988647427,0.45972701189991927,41.677371079846466,142.52739999999997,145.716923076923
134.94,136.53,136.29,135.58,4271.72,579103.84,-1.08125782582934,-1.2101253235461336,0.25773499543358724,39.586899695971844,141.9802,145.58860759493663
135.27,136.34,135.58,136.21,3131.42,425005.63,-1.0726597877892345,-1.1826322159089926,0.2199448562395161,42.350081691822666,141.4288,145.4713749999999
135.36,136.3,136.21,135.84,1171.41,158994.32,-1.0831578150208543,-1.1627373354501551,0.15915904085860166,41.15940643699001,140.8658,145.35246913580238
132.05,136.06,135.84,135.61,6340.51,854726.79,-1.0973521438494345,-1.1496602969821381,0.1046163062654073,40.39904347569677,140.2996,145.2336585365853
135.41,136.77,135.61,136.04,2464.17,335855.58,-1.061715834017832,-1.1320714042301634,0.1407111404246626,42.5363668440523,139.7804,145.122891566265
135.06,136.52,136.04,135.24,5174.45,702599.51,-1.0854193446384386,-1.1227409922442941,0.07464329521171109,39.68502138636213,139.2372,145.00523809523804
134.44,135.54,135.24,135.0,5972.4,807409.03,-1.1107376585929387,-1.120340325500124,0.01920533381437073,38.84378713163954,138.6778,144.88752941176466
133.9,135.23,135.0,135.23,3455.22,465132.82,-1.0995882773187304,-1.116189915844622,0.033203277051783164,40.15306999841463,138.12579999999997,144.77523255813946
134.69,136.53,135.23,136.36,1521.49,206401.29,-0.9882809624185995,-1.0906081250646282,0.2046543252920574,46.2423817733314,137.62939999999998,144.6785057471264
135.9,136.59,136.36,136.04,823.63,112196.66,-0.915311107595187,-1.0555487214668142,0.2804752277432545,44.85066320669071,137.15379999999996,144.58034090909086
134.73,136.08,136.04,134.73,1060.42,143483.67,-0.9521076993183044,-1.0348605169880518,0.1655056353394948,39.596815423029675,137.05339999999995,144.46966292134826
133.3,135.42,134.73,135.07,1191.02,160100.68,-0.9429869774511985,-1.0164858090458218,0.14699766318924645,41.51181663841832,136.95339999999996,144.36522222222217
133.92,135.5,135.07,134.34,1209.69,163051.5,-0.9832778910369768,-1.0098442254339728,0.05313266879399192,38.676600703396744,136.88939999999997,144.2550549450549
134.04,135.09,134.34,134.53,1084.86,146159.84,-0.988492806032724,-1.0055739415485383,0.0341622710316285,39.828516008014574,136.81539999999998,144.1493478260869
134.2,134.98,134.53,134.61,3374.41,453647.94,-0.9749351793831522,-0.999446189109509,0.04902201945271356,40.33670195769449,136.73259999999996,144.04677419354834
134.57,135.65,134.61,134.81,499.9,67601.32,-0.9372578925580228,-0.9870085297895468,0.0995012744630479,41.663177937299515,136.65599999999998,143.94851063829782
134.79,136.0,134.81,135.71,541.76,73348.81,-0.8253064816748292,-0.9546681201464987,0.25872327694333896,47.33722661602962,136.58639999999997,143.86178947368415
135.53,136.13,135.71,135.9,168.17,22851.86,-0.713041851731333,-0.9063428664394323,0.3866020294161985,48.47656024035805,136.52639999999997,143.7788541666666
134.05,135.9,135.9,134.62,987.46,132961.41,-0.7190132606767463,-0.8688769452719889,0.29972736919048515,41.89995470748732,136.46599999999998,143.6844329896907
134.38,134.88,134.62,134.48,107.34,14455.71,-0.7266597365575649,-0.8404335035200508,0.22754753392497173,41.24093074653363,136.51879999999994,143.5905102040816
134.48,135.73,134.48,135.09,468.22,63420.49,-0.6757301131089264,-0.8074928254294383,0.2635254246410239,45.27947104724004,136.52659999999997,143.5046464646464
134.93,135.5,135.09,135.11,299.34,40428.86,-0.626532281493354,-0.771300716634849,0.2895368702829899,45.41194545115659,136.52119999999996,143.42069999999995
135.04,135.66,135.11,135.22,146.88,19878.58,-0.5720752469980255,-0.7314556227009911,0.3187607514059312,46.18363640447416,136.47819999999996,143.31109999999995
