datetime,low,high,open,close,volumefrom,volumeto
2019-02-23 00:00:00,3930.23,3940.31,3939.82,3934.83,62.89,247558.66
2019-02-23 01:00:00,3933.09,3948.05,3934.83,3946.41,125.7,495213.71
2019-02-23 02:00:00,3935.35,3946.64,3946.41,3939.35,148.46,584860.45
2019-02-23 03:00:00,3932.48,3942.53,3939.35,3940.5,108.33,426529.03
2019-02-23 04:00:00,3919.39,3940.5,3940.5,3926.55,158.61,622886.05
2019-02-23 05:00:00,3912.65,3931.01,3926.55,3928.44,186.69,732482.01
2019-02-23 06:00:00,3922.83,3931.05,3928.44,3928.23,108.07,424262.95
2019-02-23 07:00:00,3922.77,3931.47,3928.23,3927.64,78.75,309242.03
2019-02-23 08:00:00,3905.63,3928.71,3927.64,3921.51,234.21,917303.71
2019-02-23 09:00:00,3910.34,3934.92,3921.51,3933.93,174.73,685110.89
2019-02-23 10:00:00,3929.52,3938.21,3933.93,3936.94,108.7,427652.9
2019-02-23 11:00:00,3932.16,3946.31,3936.94,3933.22,381.41,1502796.66
2019-02-23 12:00:00,3927.43,3939.04,3933.22,3936.78,206.58,812685.52
2019-02-23 13:00:00,3927.03,3937.66,3936.78,3930.49,66.79,262658.22
2019-02-23 14:00:00,3926.22,3934.39,3930.49,3933.31,67.69,266095.6
2019-02-23 15:00:00,3910.75,3933.5,3933.31,3922.31,159.56,625629.51
2019-02-23 16:00:00,3921.43,3980.0,3922.31,3954.13,452.27,1790265.55
2019-02-23 17:00:00,3920.0,4092.85,3954.13,4090.0,2279.73,9146720.0
2019-02-23 18:00:00,4077.18,4137.0,4090.0,4092.39,912.4,3738861.96
2019-02-23 19:00:00,4092.39,4129.92,4092.39,4096.23,414.62,1702372.29
2019-02-23 20:00:00,4095.54,4157.87,4096.23,4142.23,619.65,2564927.03
2019-02-23 21:00:00,4105.0,4142.23,4142.23,4106.49,207.39,854960.88
2019-02-23 22:00:00,4098.0,4122.9,4106.49,4116.18,217.3,893192.49
2019-02-23 23:00:00,4100.0,4117.23,4116.18,4113.53,485.8,1994419.76
2019-02-24 00:00:00,4109.94,4131.84,4113.53,4126.61,122.39,504393.11
2019-02-24 01:00:00,4117.99,4133.33,4126.61,4127.67,180.7,745860.13
2019-02-24 02:00:00,4125.58,4165.79,4127.67,4152.46,347.65,1441988.34
2019-02-24 03:00:00,4141.68,4190.0,4152.46,4162.33,667.26,2781007.0
2019-02-24 04:00:00,4144.0,4168.0,4162.33,4152.95,236.08,981333.08
2019-02-24 05:00:00,4147.0,4161.42,4152.95,4159.89,212.51,882269.27
2019-02-24 06:00:00,4153.26,4169.08,4159.89,4159.98,180.88,752430.84
2019-02-24 07:00:00,4147.48,4162.59,4159.98,4159.08,213.79,888509.57
2019-02-24 08:00:00,4120.14,4160.81,4159.08,4130.0,255.46,1059578.05
2019-02-24 09:00:00,4121.09,4153.74,4130.0,4134.46,478.24,1979495.48
2019-02-24 10:00:00,4127.62,4140.57,4134.46,4135.31,222.89,921562.72
2019-02-24 11:00:00,4125.57,4141.49,4135.31,4131.61,181.43,750276.01
2019-02-24 12:00:00,4088.65,4133.83,4131.61,4108.76,375.3,1543261.15
2019-02-24 13:00:00,4054.31,4122.19,4108.76,4077.88,447.69,1836967.17
2019-02-24 14:00:00,3714.42,4086.73,4077.88,3791.0,3896.55,14980849.48
2019-02-24 15:00:00,3770.13,3820.0,3791.0,3778.27,1125.53,4271845.88
2019-02-24 16:00:00,3715.0,3784.0,3778.27,3757.42,1606.83,6020419.9
2019-02-24 17:00:00,3748.62,3782.87,3757.42,3762.77,489.82,1844552.4
2019-02-24 18:00:00,3752.34,3789.0,3762.77,3777.65,312.65,1178700.71
2019-02-24 19:00:00,3766.11,3780.8,3777.65,3772.19,498.29,1881456.92
2019-02-24 20:00:00,3769.18,3786.79,3772.19,3783.3,275.1,1039124.08
2019-02-24 21:00:00,3778.28,3805.34,3783.3,3780.67,544.69,2065450.69
2019-02-24 22:00:00,3738.0,3784.15,3780.67,3757.26,415.68,1564475.67
2019-02-24 23:00:00,3725.13,3778.0,3757.26,3730.68,449.6,1687602.42
2019-02-25 00:00:00,3730.68,3763.91,3730.68,3759.24,345.43,1295861.76
2019-02-25 01:00:00,3754.38,3771.27,3759.24,3760.18,209.13,786813.08
2019-02-25 02:00:00,3757.3,3773.35,3760.18,3773.33,278.21,1047363.64
2019-02-25 03:00:00,3765.36,3787.0,3773.33,3779.71,538.77,2036022.55
2019-02-25 04:00:00,3770.8,3789.42,3779.71,3783.43,416.57,1574700.87
2019-02-25 05:00:00,3751.98,3784.47,3783.43,3781.55,252.26,950941.8
2019-02-25 06:00:00,3775.17,3789.45,3781.55,3776.58,127.17,481071.99
2019-02-25 07:00:00,3754.37,3779.89,3776.58,3756.35,229.0,862554.16
2019-02-25 08:00:00,3755.5,3775.99,3756.35,3775.23,202.26,762200.04
2019-02-25 09:00:00,3769.38,3782.06,3775.23,3774.84,293.84,1109805.17
2019-02-25 10:00:00,3745.75,3789.57,3774.84,3777.62,611.87,2306114.06
2019-02-25 11:00:00,3774.38,3790.9,3777.62,3778.36,174.6,660129.31
2019-02-25 12:00:00,3775.9,3800.93,3778.36,3785.17,303.45,1149434.95
2019-02-25 13:00:00,3780.2,3794.01,3785.17,3790.63,133.97,507320.42
2019-02-25 14:00:00,3762.72,3791.47,3790.63,3776.8,528.18,1995437.52
2019-02-25 15:00:00,3776.8,3793.88,3776.8,3791.64,486.24,1840984.93
2019-02-25 16:00:00,3784.9,3836.28,3791.64,3832.51,912.26,3478374.08
2019-02-25 17:00:00,3810.36,3837.39,3832.51,3820.72,513.44,1963506.83
2019-02-25 18:00:00,3818.02,3861.81,3820.72,3857.2,676.38,2600926.01
2019-02-25 19:00:00,3840.0,3860.94,3857.2,3845.53,265.8,1022486.33
2019-02-25 20:00:00,3801.0,3851.57,3845.53,3830.0,609.29,2332443.46
2019-02-25 21:00:00,3802.6,3832.2,3830.0,3802.6,359.68,1373977.32
2019-02-25 22:00:00,3801.93,3829.99,3802.6,3820.87,185.75,709910.13
2019-02-25 23:00:00,3814.38,3830.0,3820.87,3820.71,181.82,695223.51
2019-02-26 00:00:00,3811.13,3821.29,3820.71,3820.72,194.52,742447.37
2019-02-26 01:00:00,3814.87,3821.74,3820.72,3819.6,169.49,647144.72
2019-02-26 02:00:00,3814.49,3827.08,3819.6,3822.59,210.83,805680.17
2019-02-26 03:00:00,3819.26,3830.0,3822.59,3824.74,242.52,928028.3
2019-02-26 04:00:00,3811.0,3825.25,3824.74,3813.02,152.32,581520.9
2019-02-26 05:00:00,3760.09,3816.12,3813.02,3796.71,560.56,2122446.36
2019-02-26 06:00:00,3764.55,3799.88,3796.71,3777.19,466.79,1762658.18
2019-02-26 07:00:00,3770.53,3788.67,3777.19,3788.17,311.93,1178964.73
2019-02-26 08:00:00,3781.37,3792.29,3788.17,3790.47,379.69,1437728.18
2019-02-26 09:00:00,3767.31,3792.93,3790.47,3789.11,329.28,1246265.95
2019-02-26 10:00:00,3789.11,3809.36,3789.11,3798.31,194.26,737885.06
2019-02-26 11:00:00,3785.33,3802.0,3798.31,3788.83,334.04,1268356.52
2019-02-26 12:00:00,3783.35,3795.25,3788.83,3789.08,296.1,1121759.95
2019-02-26 13:00:00,3773.17,3792.87,3789.08,3791.75,237.57,899047.37
2019-02-26 14:00:00,3781.73,3818.63,3791.75,3811.18,282.72,1074092.8
2019-02-26 15:00:00,3802.39,3818.74,3811.18,3807.0,346.69,1320843.91
2019-02-26 16:00:00,3789.99,3808.48,3807.0,3793.03,188.58,716121.45
2019-02-26 17:00:00,3783.0,3805.65,3793.03,3801.04,350.34,1328702.95
2019-02-26 18:00:00,3787.58,3812.05,3801.04,3792.86,255.97,972894.83
2019-02-26 19:00:00,3789.52,3813.72,3792.86,3798.92,169.93,645885.92
2019-02-26 20:00:00,3793.02,3806.91,3798.92,3794.51,164.06,623338.5
2019-02-26 21:00:00,3784.36,3801.69,3794.51,3789.41,348.13,1322261.78
2019-02-26 22:00:00,3782.77,3801.27,3789.41,3796.36,238.78,905627.75
2019-02-26 23:00:00,3791.68,3800.12,3796.36,3795.06,118.05,448127.93
2019-02-27 00:00:00,3774.0,3795.69,3795.06,3786.41,382.14,1447062.1
2019-02-27 01:00:00,3779.31,3788.58,3786.41,3781.79,192.15,726962.36
2019-02-27 02:00:00,3781.79,3809.58,3781.79,3800.73,199.49,756919.14
